545036	600699
2045	600699
601334	1523
563822	600699
535746	600699
567340	600744
535661	600921
601173	437
9357	600801
536183	600730
12595	600658
566464	600699
601098	12
52500	600699
601403	14
18270	600615
7333	600616
4414	600889
567253	600730
7003	600616
12624	600766
38061	600699
562695	600921
6520	600699
565145	600744
12170	600615
567434	600924
601283	13
7485	600699
564708	600921
602018	230
9382	601049
564816	600615
1018	600634
7835	600699
601075	690
601564	437
548069	600699
536339	600699
602742	14
6	601192
564888	600699
535334	600699
1321	600614
531815	600921
566947	600699
603246	3490
567453	600921
562719	600699
564481	600744
602774	230
52018	600730
648	600699
54119	600699
601358	740
601475	138
601254	22
562793	601120
8796	600615
563032	600699
601028	505
602060	22
14929	600699
52496	600699
605432	230
13119	600615
14625	600619
535476	600730
19851	600614
5128	600699
17192	601120
566730	600786
8218	600796
814	600744
564498	600699
11293	600784
563162	600744
12600	600691
13922	600699
10300	600615
601677	22
18288	600622
18335	600921
50500	600643
11023	600688
13674	600770
567710	600921
601594	1145
566466	600699
535477	600730
537117	600766
21081	600699
2313	600634
536783	600792
13226	600615
601520	230
604503	172
564468	600870
3057	600730
55623	601152
601604	22
535687	600699
601358	799
567009	600699
8228	600615
567208	600921
602186	419
565537	600924
605037	437
605182	1932
13485	600863
602145	2544
535934	600658
8072	600699
4406	601004
4476	600699
601870	13
3410	600730
601410	142
536293	600699
566440	600699
4310	600792
13376	600699
16112	600744
601137	141
535887	600699
12008	600622
535935	600699
537987	600730
537113	600699
600863	13
538216	600921
601104	1201
600630	22
11938	600921
605189	22
13924	600712
535906	600921
11472	600616
564708	600924
605025	22
605189	437
564166	600699
12779	600699
3231	600913
25753	600921
537537	600734
565128	600699
20388	600658
600996	13
6528	600614
58566	600722
564048	600730
537403	600699
67877	600615
538052	600744
538231	600699
12124	600691
6229	600773
538167	600699
601487	799
11782	600699
536482	600699
601191	12
535776	600921
601303	22
4714	600699
565833	600787
13662	600887
537340	600699
536632	601007
536122	600699
6457	600699
3320	600699
12852	600643
565510	600699
563162	600921
604143	22
601454	230
20244	600615
535979	600809
2054	600846
601505	532
566222	600921
601513	3229
7418	600917
604431	14
601189	230
564234	600699
600969	22
10623	600699
6316	600966
600859	1943
536211	600730
13585	600699
12282	600921
602213	1927
536866	600730
535729	600863
604781	12
602021	14
6955	600722
562625	600634
601892	707
18335	600924
536456	600893
52878	600712
535521	600699
20961	600615
566766	600904
567681	600699
567687	600921
602306	14
15423	601109
564513	600730
602973	14
14517	600658
538005	600781
7970	600619
602950	15
602231	1480
601396	15
601051	22
567618	600643
7669	600635
567653	600699
567642	600699
535600	600792
537345	600699
2869	600635
65630	600615
536587	600921
6470	600614
601568	230
535440	600699
601149	13
18211	600615
602032	22
567737	600699
566875	600742
9813	600744
6689	600635
9164	600699
12634	600699
563843	600699
601241	22
538397	600735
15419	600699
21183	600699
15477	601145
12348	600699
601800	437
562938	600699
58631	600699
31845	600796
19966	600630
17497	600699
6942	600734
5499	600858
2025	600699
537583	600887
8109	600622
601232	13
12635	600699
567202	600921
55728	600699
537494	600921
601345	505
53359	600796
5262	600622
604494	419
566987	600805
601846	230
46748	600699
25420	600921
566325	600730
566415	600805
600998	37
601810	14
564333	600699
10146	600615
564492	600699
1321	600615
535857	600735
601564	1145
4927	600699
54059	600936
16736	601139
566795	600699
605181	22
602955	6948
603783	172
537799	600699
13502	600699
601675	347
600899	14
602028	14
9059	600691
601197	163
12178	600699
601754	7022
567280	600931
603965	14
6932	600616
3110	600615
535705	600634
601314	1247
537257	600699
563681	600699
535328	600924
2821	600699
601255	437
535598	600699
16491	600699
2471	600615
602815	230
20760	600883
601505	544
1019	600634
536528	600699
563421	600699
563685	600699
45262	600699
567766	600744
15043	600821
38061	600730
29481	600658
8231	600699
535310	600699
565703	600699
8673	600699
11115	600630
562803	600699
563039	600699
741	600699
601902	4415
580205	600730
603855	10244
34381	600658
600876	14
20323	600691
10235	600699
566555	600658
10996	600616
9976	600744
14262	600799
7154	600699
20896	600790
601046	22
602815	236
64070	600870
19547	600889
4681	600630
566452	600730
9133	600615
7905	600699
601529	14
537342	600770
601059	14
564052	600730
17599	600699
601822	230
600928	22
13612	600699
7625	600699
2349	600699
601037	1745
2538	600616
537250	600734
601193	647
10182	600699
537217	600699
567856	600921
605429	437
562594	600699
600942	14
602011	544
11693	600786
601020	12
605433	787
537153	600699
565449	600699
4761	601120
11064	600730
50197	600614
5955	600699
1996	601046
7235	600766
567640	600614
8265	600699
6008	600699
12512	600699
601748	380
17699	600889
6971	600658
536189	600744
536330	600699
538259	600699
15428	600614
536163	600699
566506	600635
567286	600863
1254	600622
565198	600921
601012	163
563835	600751
601790	544
81800	600730
8582	600616
5171	600699
67430	600699
4892	600815
537032	600699
563739	600699
566483	601134
7589	600658
2526	600699
602280	1018
601046	38
536905	600778
84460	600712
601815	1791
602703	230
34721	600699
12868	600699
9377	600744
20016	600699
604745	22
564258	600699
567605	600730
20214	600699
536399	600744
6014	600779
537525	600744
536439	600699
1724	600699
565726	600722
601749	2177
2285	600690
600761	309
535608	600699
4391	600699
4660	600760
1913	600699
601127	14
3323	600699
536652	600699
600795	326
601700	14
601849	13
601219	437
602103	707
182	600722
21201	600730
13122	601171
565718	600863
600979	309
13708	601145
6978	600699
567038	600699
783	600699
566056	600699
15878	600691
601739	544
600931	22
55752	600622
600941	14
14860	601109
13477	600699
536647	600996
601683	22
565188	600699
602206	230
